2024-10-30 20:32:57,457 - ERROR - robots.txt 접근 실패 - 에러: HTTPConnectionPool(host='www.localhost', port=3000): Max retries exceeded with url: /robots.txt (Caused by NameResolutionError("<urllib3.connection.HTTPConnection object at 0x105393740>: Failed to resolve 'www.localhost' ([Errno 8] nodename nor servname provided, or not known)"))
2024-10-30 20:33:00,171 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/2, 깊이: 2
2024-10-30 20:33:00,194 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/2
2024-10-30 20:33:00,208 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/7, 깊이: 2
2024-10-30 20:33:00,233 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/7
2024-10-30 20:33:00,250 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/12, 깊이: 2
2024-10-30 20:33:00,273 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/12
2024-10-30 20:33:00,287 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/15, 깊이: 2
2024-10-30 20:33:00,310 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/15
2024-10-30 20:33:00,324 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/10, 깊이: 2
2024-10-30 20:33:00,348 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/10
2024-10-30 20:33:00,362 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/6, 깊이: 2
2024-10-30 20:33:00,386 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/6
2024-10-30 20:33:00,402 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/postDetail/8, 깊이: 2
2024-10-30 20:33:00,431 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/postDetail/8
2024-10-30 20:33:00,446 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/register, 깊이: 2
2024-10-30 20:33:00,472 - INFO - [DynamicCrawler] 발견된 폼: 1개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/register
2024-10-30 20:33:00,486 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 2
2024-10-30 20:33:00,512 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,524 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 2
2024-10-30 20:33:00,544 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,556 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,578 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,590 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,611 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,623 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,645 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,661 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,686 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,702 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,723 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,734 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,754 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,766 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,786 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,797 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,819 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,830 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,856 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,867 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,888 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,899 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,918 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,932 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,956 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,968 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:00,986 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:00,997 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,023 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,037 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,060 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,073 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,095 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,108 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,127 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,140 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000, 깊이: 3
2024-10-30 20:33:01,160 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/
2024-10-30 20:33:01,173 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/22, 깊이: 3
2024-10-30 20:33:01,199 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/22
2024-10-30 20:33:01,213 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/23, 깊이: 3
2024-10-30 20:33:01,240 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/23
2024-10-30 20:33:01,254 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/18, 깊이: 3
2024-10-30 20:33:01,284 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/18
2024-10-30 20:33:01,297 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/16, 깊이: 3
2024-10-30 20:33:01,325 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/16
2024-10-30 20:33:01,338 - INFO - [DynamicCrawler] 방문 중: http://www.localhost:3000/productDetail/20, 깊이: 3
2024-10-30 20:33:01,364 - INFO - [DynamicCrawler] 발견된 폼: 0개, 독립 입력 필드: 0개 - URL: http://www.localhost:3000/productDetail/20
